OBJECTID,LSOA11CD,LSOA11NM,X_COORD,Y_COORD,STUD_TOT,STUD_EconActive_InEmployment,STUD_EconActive_Unemployed,STUD_EconInactive
7667,E01011517,Leeds 024B,431495.675,437899.075,93,22,11,60
7668,E01011596,Leeds 062D,422086.497,434876.572,57,17,2,38
7669,E01011514,Leeds 025E,430291.089,438521.754,86,22,8,56
7670,E01011595,Leeds 066B,420541.645,434549.958,105,29,7,69
7671,E01011515,Leeds 023D,430394.265,438124.351,89,31,5,53
7672,E01011594,Leeds 062C,421333.912,435013.864,63,25,3,35
7673,E01011512,Leeds 023C,430810.121,438729.685,92,32,7,53
7674,E01011593,Leeds 039E,422072.623,435519.425,77,25,5,47
7675,E01011513,Leeds 031A,428769.605,438070.156,108,43,9,56
7676,E01011592,Leeds 039D,421597.196,435398.749,39,16,1,22
7677,E01011510,Leeds 025D,430141.376,438858.514,82,29,12,41
7678,E01011591,Leeds 052D,422542.957,436216.853,47,22,2,23
7679,E01011511,Leeds 023B,431281.932,438595.489,76,19,3,54
7680,E01011590,Leeds 039C,420084.239,436895.23,55,22,0,33
7681,E01011518,Leeds 093A,427199.029,429783.241,98,33,13,52
7682,E01011599,Leeds 066D,420897.383,434109.369,70,23,4,43
7683,E01011519,Leeds 095A,424321.29,429569.828,60,27,4,29
7684,E01011598,Leeds 062E,421629.061,434762.273,43,11,7,25
7714,E01011476,Leeds 094D,431582.173,428990.326,56,18,6,32
7715,E01011477,Leeds 045A,426728.673,435490.871,309,89,34,186
7716,E01011474,Leeds 092D,431413.617,429779.653,91,32,13,46
7717,E01011475,Leeds 094C,431175.161,429226.411,77,26,8,43
7718,E01011472,Leeds 092B,431115.519,430299.827,86,25,11,50
7719,E01011473,Leeds 092C,430968.781,429831.859,107,27,13,67
7720,E01011470,Leeds 112C,431542.782,430633.61,60,21,8,31
7721,E01011471,Leeds 092A,430809.298,430507.307,76,17,13,46
7722,E01011478,Leeds 056A,427471.601,435050.259,436,153,39,244
7723,E01011479,Leeds 056B,427676.151,435202.433,762,260,64,438
7772,E01011726,Leeds 080A,425009.604,432784.509,79,19,18,42
7773,E01011727,Leeds 080B,424746.388,433305.939,46,16,2,28
7774,E01011724,Leeds 041D,436263.256,435910.748,88,32,7,49
7775,E01011725,Leeds 078A,425569.088,433275.035,97,31,7,59
7776,E01011722,Leeds 041B,436975.957,435997.376,101,30,10,61
7777,E01011723,Leeds 041C,436670.493,436182.633,66,15,10,41
7778,E01011720,Leeds 029E,436075.883,436660.159,65,17,8,40
7779,E01011721,Leeds 041A,436413.947,436511.961,66,18,11,37
7780,E01011728,Leeds 080C,424691.119,431019.893,73,21,10,42
7781,E01011729,Leeds 078B,426374.369,433214.687,71,25,4,42
7858,E01033016,Leeds 111E,430211.711,433103.972,103,31,2,70
7859,E01033015,Leeds 111D,429273.815,433140.19,176,64,6,106
7860,E01033013,Leeds 082E,429045.761,432449.559,139,53,8,78
7861,E01033010,Leeds 111B,430171,434196.706,2027,334,241,1452
7862,E01033011,Leeds 111C,430621.072,433343.56,371,104,46,221
7863,E01033018,Leeds 112D,430847.432,432758.769,156,56,9,91
7864,E01033019,Leeds 112E,430795.747,432945.139,642,123,99,420
7882,E01011697,Leeds 002A,444023.976,446827.584,60,20,7,33
7883,E01011616,Leeds 072A,434455.141,433490.1,82,13,7,62
7884,E01011696,Leeds 006B,438448.492,445624.427,59,26,6,27
7885,E01011617,Leeds 070B,433436.278,433836.105,86,38,8,40
7886,E01011695,Leeds 019D,425938.723,438887.754,84,19,13,52
7887,E01011614,Leeds 068E,423076.964,433321.676,61,27,8,26
7888,E01011694,Leeds 109F,427515.25,436571.392,578,214,46,318
7889,E01011615,Leeds 070A,432739.846,433611.598,73,22,8,43
7890,E01011693,Leeds 109E,428437.448,436761.784,267,100,29,138
